uid,level,topic,subtopic,skill,format,difficulty,time_s,stem_tex,answer_tex,distractors_tex,figure_url,tags,status,language,source_file
CL3E017,3e,calcul_litteral,parentheses,calcul,QCM,2,35,Simplifier : $6b - (b + 5)$,$5b - 5$,$7b + 5$|$5b + 5$|$-5b + 5$,,flash;calcul_litteral;parentheses,à valider,fr,calcul_litteral.csv
CL3E018,3e,calcul_litteral,developpement,calcul,QCM,1,30,Développer : $5(a - 2)$,$5a - 10$,$5a + 10$|$a - 10$|$5a - 2$,,flash;calcul_litteral;developpement,à valider,fr,calcul_litteral.csv
CL3E019,3e,calcul_litteral,factorisation,calcul,QCM,2,35,Factoriser : $14x - 21$,$7(2x - 3)$,$2(7x - 10.5)$|$14(x - 1.5)$|$7x - 21$,,flash;calcul_litteral;factorisation,à valider,fr,calcul_litteral.csv
CL3E020,3e,calcul_litteral,addition,calcul,QCM,1,30,Simplifier : $9m + 3m - 4m$,$8m$,$12m$|$6m$|$-8m$,,flash;calcul_litteral;addition,à valider,fr,calcul_litteral.csv
CL3E021,3e,calcul_litteral,equation,calcul,QCM,2,40,Résoudre : $x + 5 = 12$,$x = 7$,$x = 17$|$x = -7$|$x = 12$,,flash;calcul_litteral;equation,à valider,fr,calcul_litteral.csv
CL3E022,3e,calcul_litteral,equation,calcul,QCM,2,40,Résoudre : $2x = 10$,$x = 5$,$x = 20$|$x = -5$|$x = 8$,,flash;calcul_litteral;equation,à valider,fr,calcul_litteral.csv
CL3E023,3e,calcul_litteral,equation,calcul,QCM,2,40,Résoudre : $3x - 4 = 5$,$x = 3$,$x = -3$|$x = 1$|$x = 9$,,flash;calcul_litteral;equation,à valider,fr,calcul_litteral.csv
CL3E025,3e,calcul_litteral,equation,calcul,QCM,2,40,Résoudre : $5x + 2 = 17$,$x = 3$,$x = 5$|$x = -3$|$x = 15$,,flash;calcul_litteral;equation,à valider,fr,calcul_litteral.csv
CL3E026,3e,calcul_litteral,equation,calcul,QCM,2,40,Résoudre : $4x - 8 = 0$,$x = 2$,$x = -2$|$x = 8$|$x = 4$,,flash;calcul_litteral;equation,à valider,fr,calcul_litteral.csv
CL3E027,3e,calcul_litteral,equation,calcul,QCM,2,40,Résoudre : $x - 7 = -2$,$x = 5$,$x = -5$|$x = 9$|$x = 2$,,flash;calcul_litteral;equation,à valider,fr,calcul_litteral.csv
CL3E028,3e,calcul_litteral,equation,calcul,QCM,2,40,Résoudre : $2x + 3 = 11$,$x = 4$,$x = 8$|$x = -4$|$x = 14$,,flash;calcul_litteral;equation,à valider,fr,calcul_litteral.csv
CL3E030,3e,calcul_litteral,equation,calcul,QCM,2,40,Résoudre : $7x = 21$,$x = 3$,$x = 7$|$x = -3$|$x = 21$,,flash;calcul_litteral;equation,à valider,fr,calcul_litteral.csv
CL3E031,3e,calcul_litteral,produit_nul,calcul,QCM,2,40,Résoudre : $x(x - 4) = 0$,$x = 0$ ou $x = 4$,$x = -4$|$x = 1$|$x = 2$,,flash;calcul_litteral;produit_nul,à valider,fr,calcul_litteral.csv
CL3E032,3e,calcul_litteral,produit_nul,calcul,QCM,2,40,Résoudre : $(x + 3)(x - 2) = 0$,$x = -3$ ou $x = 2$,$x = 3$|$x = -2$|$x = 0$,,flash;calcul_litteral;produit_nul,à valider,fr,calcul_litteral.csv
CL3E033,3e,calcul_litteral,produit_nul,calcul,QCM,2,40,Résoudre : $2x(x + 5) = 0$,$x = 0$ ou $x = -5$,$x = 2$|$x = 5$|$x = -2$,,flash;calcul_litteral;produit_nul,à valider,fr,calcul_litteral.csv
CL3E034,3e,calcul_litteral,produit_nul,calcul,QCM,2,40,Résoudre : $(x - 7)(x + 1) = 0$,$x = 7$ ou $x = -1$,$x = -7$|$x = 1$|$x = 0$,,flash;calcul_litteral;produit_nul,à valider,fr,calcul_litteral.csv
CL3E035,3e,calcul_litteral,produit_nul,calcul,QCM,2,40,Résoudre : $x^2 - 9 = 0$,$x = 3$ ou $x = -3$,$x = 9$|$x = -9$|$x = 0$,,flash;calcul_litteral;produit_nul,à valider,fr,calcul_litteral.csv
CL3E036,3e,calcul_litteral,produit_nul,calcul,QCM,2,40,Résoudre : $(2x - 4)(x + 2) = 0$,$x = 2$ ou $x = -2$,$x = -4$|$x = 4$|$x = 0$,,flash;calcul_litteral;produit_nul,à valider,fr,calcul_litteral.csv
CL3E037,3e,calcul_litteral,produit_nul,calcul,QCM,2,40,Résoudre : $(x + 8)(x - 8) = 0$,$x = -8$ ou $x = 8$,$x = 0$|$x = 1$|$x = -1$,,flash;calcul_litteral;produit_nul,à valider,fr,calcul_litteral.csv
CL3E038,3e,calcul_litteral,produit_nul,calcul,QCM,2,40,Résoudre : $x^2 = 0$,$x = 0$,$x = 2$|$x = -2$|$x = 1$,,flash;calcul_litteral;produit_nul,à valider,fr,calcul_litteral.csv
CL3E039,3e,calcul_litteral,identite_remarquable,calcul,QCM,2,40,Développer : $(a + b)^2$,$a^2 + 2ab + b^2$,$a^2 + b^2$|$a^2 + ab + b^2$|$a^2 - 2ab + b^2$,,flash;calcul_litteral;identite_remarquable,à valider,fr,calcul_litteral.csv
CL3E040,3e,calcul_litteral,identite_remarquable,calcul,QCM,2,40,Développer : $(a - b)^2$,$a^2 - 2ab + b^2$,$a^2 + b^2$|$a^2 - ab + b^2$|$a^2 + 2ab + b^2$,,flash;calcul_litteral;identite_remarquable,à valider,fr,calcul_litteral.csv
CL3E041,3e,calcul_litteral,identite_remarquable,calcul,QCM,2,40,Développer : $(x + 3)^2$,$x^2 + 6x + 9$,$x^2 + 9$|$x^2 + 3x + 9$|$x^2 - 6x + 9$,,flash;calcul_litteral;identite_remarquable,à valider,fr,calcul_litteral.csv
CL3E042,3e,calcul_litteral,identite_remarquable,calcul,QCM,2,40,Développer : $(y - 5)^2$,$y^2 - 10y + 25$,$y^2 + 25$|$y^2 - 5y + 25$|$y^2 + 10y + 25$,,flash;calcul_litteral;identite_remarquable,à valider,fr,calcul_litteral.csv
CL3E043,3e,calcul_litteral,identite_remarquable,calcul,QCM,2,40,Développer : $(m + 2)^2$,$m^2 + 4m + 4$,$m^2 + 2m + 4$|$m^2 + 4$|$m^2 - 4m + 4$,,flash;calcul_litteral;identite_remarquable,à valider,fr,calcul_litteral.csv
CL3E044,3e,calcul_litteral,identite_remarquable,calcul,QCM,2,40,Développer : $(p - 7)^2$,$p^2 - 14p + 49$,$p^2 + 49$|$p^2 - 7p + 49$|$p^2 + 14p + 49$,,flash;calcul_litteral;identite_remarquable,à valider,fr,calcul_litteral.csv
CL3E045,3e,calcul_litteral,identite_remarquable,calcul,QCM,2,40,Développer : $(a + b)(a - b)$,$a^2 - b^2$,$a^2 + b^2$|$a^2 - 2ab + b^2$|$a^2 + 2ab + b^2$,,flash;calcul_litteral;identite_remarquable,à valider,fr,calcul_litteral.csv
CL3E046,3e,calcul_litteral,identite_remarquable,calcul,QCM,2,40,Développer : $(x + 4)(x - 4)$,$x^2 - 16$,$x^2 + 16$|$x^2 - 8x + 16$|$x^2 + 8x + 16$,,flash;calcul_litteral;identite_remarquable,à valider,fr,calcul_litteral.csv
CL3E047,3e,calcul_litteral,identite_remarquable,calcul,QCM,2,40,Développer : $(y + 6)(y - 6)$,$y^2 - 36$,$y^2 + 36$|$y^2 - 12y + 36$|$y^2 + 12y + 36$,,flash;calcul_litteral;identite_remarquable,à valider,fr,calcul_litteral.csv
CL3E048,3e,calcul_litteral,identite_remarquable,calcul,QCM,2,40,Développer : $(m - 3)(m + 3)$,$m^2 - 9$,$m^2 + 9$|$m^2 - 6m + 9$|$m^2 + 6m + 9$,,flash;calcul_litteral;identite_remarquable,à valider,fr,calcul_litteral.csv
FON3E004,3e,fonctions,lecture_graphique,lecture,QCM,2,50,"D'après le tableau : x → 0, 1, 2, 3 et f(x) → 0, 3, 6, 9. Calculer f(2).",6,3|9|2,,flash;fonctions;tableau_valeurs,validé,fr,fonctions.csv
FON3E005,3e,fonctions,lecture_graphique,lecture,QCM,2,40,"La courbe passe par (0, 2) et (3, 8). Quelle est f(0) ?",2,3|8|0,,flash;fonctions;lecture_ordonnee_origine,validé,fr,fonctions.csv
FON3E006,3e,fonctions,lecture_graphique,lecture,QCM,3,60,"D'après le graphique, combien y a-t-il d'antécédents de 4 ?",2,1|3|0,,flash;fonctions;nombre_antecedents,validé,fr,fonctions.csv
FON3E007,3e,fonctions,lecture_graphique,lecture,QCM,2,45,"Le point (5, -1) est sur la courbe. Alors f(5) = ?",-1,5|4|-5,,flash;fonctions;coordonnees_negatives,validé,fr,fonctions.csv
FON3E009,3e,fonctions,fonctions_lineaires,calcul,QCM,1,30,"Si f(x) = 4x, calculer f(3).",12,7|16|34,,flash;fonctions;lineaire_calcul,validé,fr,fonctions.csv
FON3E010,3e,fonctions,fonctions_lineaires,calcul,QCM,1,30,"Si g(x) = -2x, calculer g(-5).",10,2|-10|-2,,flash;fonctions;lineaire_negatif,validé,fr,fonctions.csv
FON3E011,3e,fonctions,fonctions_lineaires,calcul,QCM,2,45,Une fonction linéaire vérifie f(2) = 8. Quelle est son expression ?,f(x) = 4x,f(x) = 2x + 4|f(x) = 6x|f(x) = x + 6,,flash;fonctions;determiner_lineaire,validé,fr,fonctions.csv
FON3E012,3e,fonctions,fonctions_lineaires,propriete,QCM,2,40,"Si f(x) = 3x, alors f(2 × 5) = ?",30,15|6|10,,flash;fonctions;propriete_lineaire,validé,fr,fonctions.csv
FON3E013,3e,fonctions,fonctions_lineaires,reconnaissance,QCM,2,35,Laquelle est une fonction linéaire ?,f(x) = 5x,f(x) = x + 2|f(x) = x²|f(x) = 3x - 1,,flash;fonctions;reconnaissance_lineaire,validé,fr,fonctions.csv
FON3E014,3e,fonctions,fonctions_affines,calcul,QCM,2,40,"Si h(x) = 2x + 3, calculer h(4).",11,5|8|23,,flash;fonctions;affine_calcul,validé,fr,fonctions.csv
FON3E015,3e,fonctions,fonctions_affines,calcul,QCM,2,40,"Si k(x) = -x + 5, calculer k(2).",3,7|-3|2,,flash;fonctions;affine_coefficient_negatif,validé,fr,fonctions.csv
FON3E016,3e,fonctions,fonctions_affines,calcul,QCM,3,60,"Si f(x) = 3x - 1, calculer f(-2).",7,-7|5|-5,,flash;fonctions;affine_valeur_negative,validé,fr,fonctions.csv
FON3E018,3e,fonctions,fonctions_affines,lecture,QCM,2,45,"Dans f(x) = -2x + 4, le coefficient directeur est :",-2,2|4|-4,,flash;fonctions;coefficient_directeur,validé,fr,fonctions.csv
FON3E019,3e,fonctions,notation,vocabulaire,QCM,1,25,La notation f : x → 2x + 1 signifie :,f(x) = 2x + 1,x = 2f + 1|f = 2x + 1|2x = f + 1,,flash;fonctions;notation_fleche,validé,fr,fonctions.csv
FON3E020,3e,fonctions,vocabulaire,definition,QCM,1,30,"Si f(3) = 7, alors 3 est :",un antécédent de 7,l'image de 7|la fonction|le coefficient,,flash;fonctions;vocabulaire_antecedent,validé,fr,fonctions.csv
ST3E001,3e,statistiques,moyenne_ponderee,calcul,QCM,2,60,Calculer la moyenne pondérée : note 12 (coeff 2) ; note 16 (coeff 3) ; note 8 (coeff 1),13.33,12.67|11.5|14,,flash;statistiques;moyenne_ponderee,validé,fr,statistiques.csv
ST3E002,3e,statistiques,mediane,position,QCM,2,45,Une série a 15 valeurs. Quelle est la position de la médiane ?,8ème,7ème|15ème|16ème,,flash;statistiques;position_mediane,validé,fr,statistiques.csv
ST3E003,3e,statistiques,etendue,decimales,QCM,2,45,Calculer l'étendue de : 2.7 ; 5.3 ; 1.8 ; 6.9 ; 4.1 ; 3.5,5.1,4.8|5.6|4.2,,flash;statistiques;etendue_decimale,validé,fr,statistiques.csv
ST3E005,3e,statistiques,mediane,calcul_pair,QCM,2,45,Quelle est la médiane de cette série de 20 valeurs ordonnées si la 10ème vaut 45 et la 11ème vaut 47 ?,46,45|47|45.5,,flash;statistiques;mediane_pair_complexe,validé,fr,statistiques.csv
ST3E006,3e,statistiques,moyenne,suppression,QCM,3,60,La moyenne de 8 valeurs est 15. Si on enlève une valeur égale à 23 quelle devient la nouvelle moyenne ?,13.7,14.1|14.3|13.1,,flash;statistiques;moyenne_suppression,validé,fr,statistiques.csv
ST3E007,3e,statistiques,etendue,temperatures,QCM,2,45,Une série de 9 températures a une étendue de 18°C. La température maximale est 31°C. Quelle est la minimale ?,13°C,12°C|14°C|15°C,,flash;statistiques;etendue_contexte,validé,fr,statistiques.csv
ST3E009,3e,statistiques,moyenne_ponderee,simple,QCM,2,45,Moyenne pondérée de 14 (coeff 4) et 10 (coeff 6) :,11.6,12|12.4|11.2,,flash;statistiques;moyenne_ponderee_simple,validé,fr,statistiques.csv
ST3E010,3e,statistiques,mediane,transformation,QCM,3,60,Une série a pour médiane 25. On multiplie chaque valeur par 3. La nouvelle médiane est :,75,25|8.33|Impossible à calculer,,flash;statistiques;mediane_transformation,validé,fr,statistiques.csv
ST3E011,3e,statistiques,etendue,salaires,QCM,2,45,L'étendue d'une série de salaires est 2400€. Le salaire max est 3500€. Quel est le salaire min ?,1100€,1200€|1000€|1300€,,flash;statistiques;etendue_contexte,validé,fr,statistiques.csv
ST3E012,3e,statistiques,moyenne,ecart_type,QCM,2,30,Dans une classe la moyenne en maths est 12.5 avec un écart-type de 3.2. Un élève a 16. Sa note est-elle :,Au-dessus de la moyenne,Dans la moyenne|En dessous de la moyenne|Exactement la moyenne,,flash;statistiques;interpretation_ecart,validé,fr,statistiques.csv
ST3E013,3e,statistiques,mediane,negatifs,QCM,2,45,Calculer la médiane de : -5 ; -2 ; 0 ; 3 ; 7 ; 11 ; 15,3,0|5|7,,flash;statistiques;mediane_negatifs,validé,fr,statistiques.csv
ST3E015,3e,statistiques,etendue,transformation,QCM,3,60,L'étendue d'une série est divisée par 2 si on :,Divise chaque valeur par 2,Soustrait 2 à chaque valeur|Ajoute la même constante|Enlève les valeurs extrêmes,,flash;statistiques;transformation_etendue,validé,fr,statistiques.csv
ST3E016,3e,statistiques,mediane,propriete,QCM,2,30,Une médiane sépare une série en deux groupes de :,Même effectif,Même moyenne|Même étendue|Même variance,,flash;statistiques;propriete_mediane,validé,fr,statistiques.csv
ST3E017,3e,statistiques,moyenne,negatifs,QCM,2,45,Calculer la moyenne de -8 ; -3 ; 2 ; 5 ; 12 ; -1 ; 7,2,1.4|3|0,,flash;statistiques;moyenne_negatifs,validé,fr,statistiques.csv
ST3E019,3e,statistiques,mediane,incomplete,QCM,3,60,Une série de prix a une médiane de 85€ et une étendue de 60€. Le prix minimum possible est :,Dépend du maximum,25€|145€|Cannot be determined,,flash;statistiques;donnees_incompletes,validé,fr,statistiques.csv
ST3E020,3e,statistiques,moyenne,ajout_cible,QCM,3,60,La moyenne de 5;7;9;11;13 est 9. Si on ajoute une 6ème valeur pour que la nouvelle moyenne soit 10 cette valeur est :,15,12|10|18,,flash;statistiques;moyenne_ajout_cible,validé,fr,statistiques.csv
THA3E001,3e,thales,theoreme_direct,calcul,QCM,2,60,"Si $\frac{AB}{AD} = \frac{AC}{AE}$ et AB = 3, AD = 5, AC = 9, alors AE = ?",15,12|6|45,,flash;thales;calcul_longueur,validé,fr,thales.csv
THA3E002,3e,thales,theoreme_direct,calcul,QCM,2,60,"Si $\frac{MN}{MP} = \frac{MO}{MQ}$ et MN = 4, MP = 6, MO = 10, alors MQ = ?",15,12|8|24,,flash;thales;calcul_longueur,validé,fr,thales.csv
THA3E003,3e,thales,theoreme_direct,calcul,QCM,2,75,"Triangle ABC, (DE) // (BC). AD = 2, AB = 5, AE = 3. Calculer AC.","7,5","6|4,5|10",,flash;thales;droites_paralleles,validé,fr,thales.csv
THA3E004,3e,thales,theoreme_direct,calcul,QCM,3,90,"Si $\frac{AB}{AD} = \frac{2}{3}$ et AC = 12, calculer AE sachant que (BC) // (DE).",18,8|6|36,,flash;thales;rapport_donne,validé,fr,thales.csv
THA3E005,3e,thales,reciproque,verification,QCM,2,75,"AB = 6, AD = 9, AC = 8, AE = 12. Les droites (BC) et (DE) sont-elles parallèles ?",Oui,Non|Impossible à dire|Il manque des données,,flash;thales;verification_parallelisme,validé,fr,thales.csv
THA3E006,3e,thales,reciproque,verification,QCM,2,75,"MN = 3, MP = 7, MO = 4, MQ = 9. Les droites (NO) et (PQ) sont-elles parallèles ?",Non,Oui|Presque|Impossible à déterminer,,flash;thales;verification_parallelisme,validé,fr,thales.csv
THA3E007,3e,thales,theoreme_direct,calcul,QCM,2,60,"Triangle RST, (UV) // (ST). RU = 4, RS = 10, RV = 5. Calculer RT.","12,5",8|15|6,,flash;thales;triangle_configuration,validé,fr,thales.csv
THA3E008,3e,thales,theoreme_direct,calcul,QCM,3,90,"Si $\frac{AB}{AD} = \frac{AC}{AE} = \frac{3}{4}$ et BC = 6, calculer DE.",8,"4,5|9|12",,flash;thales;rapport_fractionnaire,validé,fr,thales.csv
THA3E009,3e,thales,theoreme_direct,calcul,QCM,2,75,"Triangle ABC, point M sur [AB], point N sur [AC]. AM = 2, AB = 8, AN = 3. Si (MN) // (BC), calculer AC.",12,6|9|24,,flash;thales;points_sur_cotes,validé,fr,thales.csv
THA3E010,3e,thales,reciproque,verification,QCM,3,90,"AB = 4, AD = 7, AC = 6, AE = 10,5. Vérifier si (BC) // (DE).",Oui,Non|Presque parallèles|Données insuffisantes,,flash;thales;verification_decimaux,validé,fr,thales.csv
THA3E011,3e,thales,theoreme_direct,calcul,QCM,2,60,"Si $\frac{PQ}{PR} = \frac{PS}{PT}$ et PQ = 5, PR = 8, PS = 7, calculer PT.","11,2","9|14|5,6",,flash;thales;calcul_decimal,validé,fr,thales.csv
THA3E012,3e,thales,theoreme_direct,calcul,QCM,3,90,"Configuration de Thalès : AB = 6, BD = 4, AC = 9. Si (DE) // (BC), calculer CE.",6,3|12|15,,flash;thales;configuration_papillon,validé,fr,thales.csv
THA3E013,3e,thales,reciproque,verification,QCM,2,75,"EF = 5, EG = 12, EH = 4, EI = 9,6. Les droites (FH) et (GI) sont-elles parallèles ?",Oui,Non|Impossible|Presque parallèles,,flash;thales;verification_exacte,validé,fr,thales.csv
THA3E014,3e,thales,theoreme_direct,calcul,QCM,2,60,"Triangle ABC, (MN) // (BC). AM = 3, MB = 2, AN = 4,5. Calculer NC.",3,"1,5|6|9",,flash;thales;segments_adjacents,validé,fr,thales.csv
THA3E015,3e,thales,theoreme_direct,calcul,QCM,3,90,"Si $\frac{AB}{AC} = \frac{2}{5}$ et BD = 8 avec (BD) // (CE), calculer CE.",20,16|10|4,,flash;thales;rapport_inverse,validé,fr,thales.csv
THA3E016,3e,thales,reciproque,verification,QCM,3,90,"AB = 2,4, AD = 4, AC = 3,6, AE = 6. (BC) // (DE) ?",Oui,Non|Approximativement|Données incohérentes,,flash;thales;verification_decimaux_precis,validé,fr,thales.csv
THA3E017,3e,thales,theoreme_direct,calcul,QCM,2,75,"Triangle DEF, (GH) // (EF). DG = 5, GE = 3, DH = 7. Calculer HF.","4,2","3,5|5,6|2,1",,flash;thales;calcul_complement,validé,fr,thales.csv
THA3E018,3e,thales,theoreme_direct,calcul,QCM,2,60,"Si les rapports sont égaux à $\frac{3}{5}$ et AB = 9, calculer AD.",15,"6|5,4|27",,flash;thales;calcul_denominateur,validé,fr,thales.csv
THA3E019,3e,thales,reciproque,verification,QCM,2,75,"PQ = 6, PR = 10, PS = 9, PT = 15. (QS) // (RT) ?",Oui,Non|Presque|Il faut plus de données,,flash;thales;verification_simple,validé,fr,thales.csv
THA3E020,3e,thales,theoreme_direct,calcul,QCM,3,90,"Configuration croisée : AB = 8, BC = 6, AD = 12. Si (BC) // (DE), calculer DE.",9,4|18|12,,flash;thales;configuration_croisee,validé,fr,thales.csv
TRI3E001,3e,trigonometrie,cosinus,calcul,QCM,2,45,"Dans un triangle rectangle, si l'angle aigu mesure 60° et l'hypoténuse 8 cm, le côté adjacent mesure :",4 cm,"6,9 cm|8 cm|4,6 cm",,flash;trigo;cosinus,validé,fr,trigonometrie.csv
TRI3E002,3e,trigonometrie,sinus,calcul,QCM,2,45,"Dans un triangle rectangle, si l'angle aigu mesure 30° et l'hypoténuse 10 cm, le côté opposé mesure :",5 cm,"8,7 cm|10 cm|5,8 cm",,flash;trigo;sinus,validé,fr,trigonometrie.csv
TRI3E003,3e,trigonometrie,tangente,calcul,QCM,2,50,"Dans un triangle rectangle, côté opposé = 6 cm, côté adjacent = 8 cm. La tangente de l'angle est :","0,75","1,33|0,6|1,25",,flash;trigo;tangente,validé,fr,trigonometrie.csv
TRI3E004,3e,trigonometrie,cosinus,calcul,QCM,2,60,"Triangle rectangle : hypoténuse = 12 cm, côté adjacent = 9 cm. $\cos(\alpha) = ?$","0,75","0,6|1,33|0,8",,flash;trigo;rapport_cosinus,validé,fr,trigonometrie.csv
TRI3E005,3e,trigonometrie,sinus,calcul,QCM,2,60,"Triangle rectangle : hypoténuse = 15 cm, côté opposé = 12 cm. $\sin(\alpha) = ?$","0,8","0,6|1,25|0,75",,flash;trigo;rapport_sinus,validé,fr,trigonometrie.csv
TRI3E006,3e,trigonometrie,angle,calcul,QCM,3,75,"Si $\cos(\alpha) = 0,6$, alors l'angle $\alpha$ mesure environ :",53°,37°|30°|60°,,flash;trigo;angle_par_cosinus,validé,fr,trigonometrie.csv
TRI3E007,3e,trigonometrie,angle,calcul,QCM,3,75,"Si $\sin(\beta) = 0,5$, alors l'angle $\beta$ mesure :",30°,60°|45°|37°,,flash;trigo;angle_par_sinus,validé,fr,trigonometrie.csv
TRI3E008,3e,trigonometrie,tangente,calcul,QCM,3,80,"Si $\tan(\gamma) = 1$, alors l'angle $\gamma$ mesure :",45°,30°|60°|37°,,flash;trigo;angle_par_tangente,validé,fr,trigonometrie.csv
TRI3E009,3e,trigonometrie,longueur,calcul,QCM,3,90,"Triangle rectangle, angle de 37°, côté adjacent = 8 cm. Le côté opposé mesure environ :",6 cm,"9,6 cm|10,7 cm|4,8 cm",,flash;trigo;calcul_oppose,validé,fr,trigonometrie.csv
TRI3E010,3e,trigonometrie,longueur,calcul,QCM,3,90,"Triangle rectangle, angle de 53°, côté opposé = 12 cm. L'hypoténuse mesure environ :",15 cm,"9,6 cm|20 cm|10 cm",,flash;trigo;calcul_hypotenuse,validé,fr,trigonometrie.csv
TRI3E011,3e,trigonometrie,definition,connaissance,QCM,1,30,"Dans un triangle rectangle, $\cos(\alpha) = \frac{?}{hypoténuse}$",côté adjacent,côté opposé|tangente|sinus,,flash;trigo;definition_cosinus,validé,fr,trigonometrie.csv
TRI3E012,3e,trigonometrie,definition,connaissance,QCM,1,30,"Dans un triangle rectangle, $\sin(\alpha) = \frac{?}{hypoténuse}$",côté opposé,côté adjacent|cosinus|tangente,,flash;trigo;definition_sinus,validé,fr,trigonometrie.csv
TRI3E013,3e,trigonometrie,definition,connaissance,QCM,1,35,"Dans un triangle rectangle, $\tan(\alpha) = \frac{côté opposé}{?}$",côté adjacent,hypoténuse|côté opposé|sinus,,flash;trigo;definition_tangente,validé,fr,trigonometrie.csv
TRI3E014,3e,trigonometrie,valeurs_remarquables,connaissance,QCM,2,40,$\cos(60°) = ?$,"0,5","0,87|0,71|1",,flash;trigo;valeur_remarquable,validé,fr,trigonometrie.csv
TRI3E015,3e,trigonometrie,valeurs_remarquables,connaissance,QCM,2,40,$\sin(45°) = ?$,$\frac{\sqrt{2}}{2}$,"0,5|$\frac{\sqrt{3}}{2}$|1",,flash;trigo;valeur_remarquable,validé,fr,trigonometrie.csv
TRI3E016,3e,trigonometrie,longueur,calcul,QCM,3,85,"Angle de 60°, hypoténuse = 14 cm. Le côté adjacent mesure :",7 cm,"12,1 cm|14 cm|8,1 cm",,flash;trigo;calcul_adjacent,validé,fr,trigonometrie.csv
TRI3E017,3e,trigonometrie,angle,calcul,QCM,3,80,"Côté opposé = 5 cm, côté adjacent = 12 cm. L'angle mesure environ :",23°,67°|45°|30°,,flash;trigo;angle_par_tangente_calcul,validé,fr,trigonometrie.csv
